[04:01:34] [INFO] received Windows console close event; shutting log-core down
[04:03:37] [INFO] received Windows console close event; shutting log-core down
[04:08:24] [INFO] received Windows console close event; shutting log-core down
[04:10:26] [INFO] received Windows console close event; shutting log-core down
[04:15:24] [INFO] received Windows console close event; shutting log-core down
[16:14:56] [INFO] received Windows console close event; shutting log-core down
[16:16:45] [INFO] received Windows console close event; shutting log-core down
[16:19:01] [INFO] received Windows console close event; shutting log-core down
[16:30:37] [INFO] received Windows console close event; shutting log-core down
[16:32:14] [INFO] received Windows console close event; shutting log-core down
[04:25:25] [INFO] received Windows console close event; shutting log-core down
[15:59:41] [INFO] received Windows console close event; shutting log-core down
[16:02:32] [INFO] received Windows console close event; shutting log-core down
[16:07:08] [INFO] received Windows console close event; shutting log-core down
[16:08:40] [INFO] received Windows console close event; shutting log-core down
[16:32:01] [INFO] received Windows console close event; shutting log-core down
[16:33:41] [INFO] received Windows console close event; shutting log-core down
[16:35:53] [INFO] received Windows console close event; shutting log-core down
[17:01:41] [INFO] received Windows console close event; shutting log-core down
[17:03:39] [INFO] received Windows console close event; shutting log-core down
[17:09:18] [INFO] received Windows console close event; shutting log-core down
[17:17:32] [INFO] received Windows console close event; shutting log-core down
[18:20:36] [INFO] received Windows console close event; shutting log-core down
[18:24:06] [INFO] received Windows console close event; shutting log-core down
[18:25:45] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[18:32:14] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[18:37:25] [INFO] received Windows console close event; shutting log-core down
[19:49:31] [INFO] received Windows console close event; shutting log-core down
[20:09:17] [INFO] received Windows console close event; shutting log-core down
[20:12:11] [INFO] received Windows console close event; shutting log-core down
[20:14:28] [INFO] received Windows console close event; shutting log-core down
[20:21:30] [INFO] received Windows console close event; shutting log-core down
[20:23:16] [INFO] received Windows console close event; shutting log-core down
[20:26:18] [INFO] received Windows console close event; shutting log-core down
[20:28:45] [INFO] received Windows console close event; shutting log-core down
[04:27:06] [INFO] received Windows console close event; shutting log-core down
[04:32:38] [INFO] received Windows console close event; shutting log-core down
[04:34:15] [INFO] received Windows console close event; shutting log-core down
[04:36:15] [INFO] received Windows console close event; shutting log-core down
[04:38:18] [INFO] received Windows console close event; shutting log-core down
[04:43:21] [INFO] received Windows console close event; shutting log-core down
[04:48:05] [INFO] received Windows console close event; shutting log-core down
[04:54:25] [INFO] received Windows console close event; shutting log-core down
[17:50:02] [INFO] received Windows console close event; shutting log-core down
[18:29:26] [INFO] received Windows console close event; shutting log-core down
[18:32:04] [INFO] received Windows console close event; shutting log-core down
[22:46:51] [INFO] received Windows console close event; shutting log-core down
[23:11:33] [INFO] received Windows console close event; shutting log-core down
[23:13:21] [INFO] received Windows console close event; shutting log-core down
[23:19:30] [INFO] received Windows console close event; shutting log-core down
[23:26:45] [INFO] received Windows console close event; shutting log-core down
[17:43:44] [INFO] received Windows console close event; shutting log-core down
[17:58:24] [INFO] received Windows console close event; shutting log-core down
[18:01:24] [INFO] received Windows console close event; shutting log-core down
[18:25:59] [INFO] received Windows console close event; shutting log-core down
[00:19:50] [INFO] received Windows console close event; shutting log-core down
[00:30:35] [INFO] received Windows console close event; shutting log-core down
[00:32:07] [INFO] received Windows console close event; shutting log-core down
[04:41:53] [INFO] received Windows console close event; shutting log-core down
[04:44:20] [INFO] received Windows console close event; shutting log-core down
[05:01:22] [INFO] received Windows console close event; shutting log-core down
[05:24:54] [INFO] received Windows console close event; shutting log-core down
[05:28:32] [INFO] received Windows console close event; shutting log-core down
[05:29:17] [INFO] received Windows console close event; shutting log-core down
[05:30:13] [INFO] received Windows console close event; shutting log-core down
[05:34:38] [INFO] received Windows console close event; shutting log-core down
[05:37:07] [INFO] received Windows console close event; shutting log-core down
[05:47:08] [INFO] received Windows console close event; shutting log-core down
[05:48:00] [INFO] received Windows console close event; shutting log-core down
[06:42:14] [INFO] received Windows console close event; shutting log-core down
[06:43:32] [INFO] received Windows console close event; shutting log-core down
[07:02:38] [INFO] received Windows console close event; shutting log-core down
[07:04:28] [INFO] received Windows console close event; shutting log-core down
[07:13:37] [INFO] received Windows console close event; shutting log-core down
[07:14:50] [INFO] received Windows console close event; shutting log-core down
[07:16:03] [INFO] received Windows console close event; shutting log-core down
[07:16:16] [INFO] received Windows console close event; shutting log-core down
[07:16:34] [INFO] received Windows console close event; shutting log-core down
[07:16:39] [INFO] received Windows console close event; shutting log-core down
[07:17:20] [INFO] received Windows console close event; shutting log-core down
[07:17:31] [INFO] received Windows console close event; shutting log-core down
[07:31:57] [INFO] received Windows console close event; shutting log-core down
[07:36:05] [INFO] received Windows console close event; shutting log-core down
[07:36:22] [INFO] received Windows console close event; shutting log-core down
[07:36:30] [INFO] received Windows console close event; shutting log-core down
[07:36:52] [INFO] received Windows console close event; shutting log-core down
[07:52:22] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[07:53:57] [INFO] received Windows console close event; shutting log-core down
[07:55:40] [INFO] received Windows console close event; shutting log-core down
[07:58:05] [INFO] received Windows console close event; shutting log-core down
[08:05:36] [INFO] received Windows console close event; shutting log-core down
[08:06:56] [INFO] received Windows console close event; shutting log-core down
[19:40:56] [INFO] received Windows console close event; shutting log-core down
[20:02:31] [INFO] received Windows console close event; shutting log-core down
[20:03:10] [INFO] received Windows console close event; shutting log-core down
[20:06:51] [INFO] received Windows console close event; shutting log-core down
[20:08:25] [INFO] received Windows console close event; shutting log-core down
[20:10:58] [INFO] received Windows console close event; shutting log-core down
[20:14:45] [INFO] received Windows console close event; shutting log-core down
[20:29:39] [INFO] received Windows console close event; shutting log-core down
[20:31:44] [INFO] received Windows console close event; shutting log-core down
[20:43:31] [INFO] received Windows console close event; shutting log-core down
[08:15:12] [INFO] received Windows console close event; shutting log-core down
[08:26:38] [INFO] received Windows console close event; shutting log-core down
[08:29:03] [INFO] received Windows console close event; shutting log-core down
[10:52:28] [INFO] received Windows console close event; shutting log-core down
[10:54:24] [INFO] received Windows console close event; shutting log-core down
[06:46:21] [INFO] received Windows console close event; shutting log-core down
[06:50:20] [INFO] received Windows console close event; shutting log-core down
[06:53:50] [INFO] received Windows console close event; shutting log-core down
[12:43:49] [INFO] received Windows console close event; shutting log-core down
[12:48:49] [INFO] received Windows console close event; shutting log-core down
[13:01:08] [INFO] received Windows console close event; shutting log-core down
[13:01:49] [INFO] received Windows console close event; shutting log-core down
[13:03:03] [INFO] received Windows console close event; shutting log-core down
[01:12:49] [INFO] received Windows console close event; shutting log-core down
[02:33:39] [INFO] received Windows console close event; shutting log-core down
[02:35:54] [INFO] received Windows console close event; shutting log-core down
[03:04:15] [INFO] received Windows console close event; shutting log-core down
[04:30:49] [INFO] received Windows console close event; shutting log-core down
[04:38:34] [INFO] received Windows console close event; shutting log-core down
[04:41:52] [INFO] received Windows console close event; shutting log-core down
[04:20:33] [INFO] received Windows console close event; shutting log-core down
[04:29:08] [INFO] received Windows console close event; shutting log-core down
[04:31:13] [INFO] received Windows console close event; shutting log-core down
[04:40:14] [INFO] received Windows console close event; shutting log-core down
[04:42:41] [INFO] received Windows console close event; shutting log-core down
[04:55:01] [INFO] received Windows console close event; shutting log-core down
[04:58:28] [INFO] received Windows console close event; shutting log-core down
[05:03:07] [INFO] received Windows console close event; shutting log-core down
[05:04:54] [INFO] received Windows console close event; shutting log-core down
[05:15:30] [INFO] received Windows console close event; shutting log-core down
[05:20:57] [INFO] received Windows console close event; shutting log-core down
[05:22:23] [INFO] received Windows console close event; shutting log-core down
[05:54:55] [INFO] received Windows console close event; shutting log-core down
[05:56:06] [INFO] received Windows console close event; shutting log-core down
[05:57:51] [INFO] received Windows console close event; shutting log-core down
[06:00:03] [INFO] received Windows console close event; shutting log-core down
[10:44:45] [INFO] received Windows console close event; shutting log-core down
[10:58:10] [INFO] received Windows console close event; shutting log-core down
[11:00:50] [INFO] received Windows console close event; shutting log-core down
[11:02:35] [INFO] received Windows console close event; shutting log-core down
[11:17:26] [INFO] received Windows console close event; shutting log-core down
[11:18:33] [INFO] received Windows console close event; shutting log-core down
[11:19:56] [INFO] received Windows console close event; shutting log-core down
[11:27:47] [INFO] received Windows console close event; shutting log-core down
[11:32:13] [INFO] received Windows console close event; shutting log-core down
[11:47:39] [INFO] received Windows console close event; shutting log-core down
[11:56:01] [INFO] received Windows console close event; shutting log-core down
[11:57:41] [INFO] received Windows console close event; shutting log-core down
[12:00:53] [INFO] received Windows console close event; shutting log-core down
[12:07:13] [INFO] received Windows console close event; shutting log-core down
[13:25:37] [INFO] received Windows console close event; shutting log-core down
